%time,field.header.seq,field.header.stamp,field.header.frame_id,field.actuate,field.body_name.data,field.use_offset,field.body_offset.position.x,field.body_offset.position.y,field.body_offset.position.z,field.body_offset.orientation.x,field.body_offset.orientation.y,field.body_offset.orientation.z,field.body_offset.orientation.w,field.use_sensor_data,field.sensor_identifier.data
1682978027381287967,4688,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027389176781,4689,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027402648961,4690,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027407908247,4691,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027419493202,4692,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027423836753,4693,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027432099622,4694,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027445908031,4695,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027447797921,4696,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027456754257,4697,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027465844854,4698,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027473020921,4699,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027484093469,4700,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027490760744,4701,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027497717812,4702,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027505818440,4703,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027513974123,4704,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027525280615,4705,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027531961855,4706,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027539202974,4707,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027547952110,4708,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027558179398,4709,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027564506075,4710,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
